\#,Power(W),$\delta_{power}$,Duration(s),$\delta_{duration}$,Energy(J),$\delta_{energy}$
1_COUNT_50k-600_1c-1574400 ,0.172,0.0463,6.57,0.504,1.12,0.296
2_COUNT_50k-600_2c-1574400 ,0.332,0.071,5.9,0.305,1.95,0.407
3_MSORT_50k-200_1c-1574400 ,0.387,0.0263,10.7,0.45,4.15,0.29
4_MSORT_50k-200_2c-1574400 ,0.401,0.0516,10.3,0.466,4.13,0.53
5_QSORT_50k-200_1c-1574400 ,0.29,0.0907,8.43,0.504,2.45,0.778
6_QSORT_50k-200_2c-1574400 ,0.318,0.0877,8.4,0.498,2.67,0.742
7_QSORT_50k-350_2c-1574400 ,0.48,0.0362,12,0.263,5.76,0.479
8_QSORT_50k-600_2c-1574400 ,0.503,0.0393,13.2,0.43,6.65,0.48
9_QSORT_50k-300_4c-2265600 ,0.742,0.0323,9.03,0.183,6.7,0.281
10_QSORT_50k-350_1c-AUTO ,0.618,0.187,9.97,0.414,6.15,1.85
11_QSORT_50k-350_2c-AUTO ,1.07,0.462,9.88,1.45,10.6,4.79
12_QSORT_50k-350_3c-AUTO ,0.655,0.0847,10.1,0.583,6.57,0.777
