\#,Power(W),$\delta_{power}$,Duration(s),$\delta_{duration}$,Energy(J),$\delta_{energy}$
1_COUNT_50k-600_1c-1574400 ,1.22,0.0159,4.22,0.142,5.14,0.188
2_COUNT_50k-600_2c-1574400 ,0.938,0.0242,3.35,0.0704,3.14,0.0786
3_MSORT_50k-200_1c-1574400 ,1.36,0.0348,8.29,0.25,11.3,0.163
4_MSORT_50k-200_2c-1574400 ,0.63,0.411,9.81,2.29,6.19,3.87
5_QSORT_50k-200_1c-1574400 ,1.34,0.0203,5.81,0.0968,7.77,0.104
6_QSORT_50k-200_2c-1574400 ,0.987,0.017,5.51,0.0384,5.44,0.105
7_QSORT_50k-350_2c-1574400 ,1.12,0.0401,9.49,0.0461,10.7,0.395
8_QSORT_50k-600_2c-1574400 ,1,0.00966,10.8,0.0588,10.8,0.129
9_QSORT_50k-300_4c-2265600 ,1.54,0.024,6.58,0.0698,10.1,0.143
10_QSORT_50k-350_1c-AUTO ,2.03,0.0936,7.19,0.0699,14.6,0.654
11_QSORT_50k-350_2c-AUTO ,1.57,0.0312,6.96,0.0562,10.9,0.204
12_QSORT_50k-350_3c-AUTO ,1.72,0.275,7.61,0.903,13,1.77
